,type,id,lat,lon,name,place,name:ru,postal_code,wikidata,wikipedia,is_in,name:lt,source,alt_name,is_in:district,population,is_in:country,is_in:region,website,name:es,name:ar,name:ur,wikipedia:en,created_by,name:en,name:uk,old_name,GNS:dsg_code,GNS:id,capital,facebook,geometry
234,node,7522031393,-17.6487103,17.3516425,Oidiva,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (17.3516425 -17.6487103)
235,node,7522031394,-17.6900576,17.353436,Oshamambu,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (17.353436 -17.6900576)
236,node,7522090395,-17.6539718,17.4013182,Ekokalinini,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (17.4013182 -17.6539718)
237,node,7526435455,-17.5426265,17.7231634,Omauni,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (17.7231634 -17.5426265)
238,node,7528377228,-17.9283251,16.8618604,Onkumbula,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (16.8618604 -17.9283251)
239,node,7536942653,-17.447166,15.6716528,Ongenga,village,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (15.6716528 -17.447166)
240,node,7539225428,-18.216547,16.1155596,,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (16.1155596 -18.216547)
241,node,7549063650,-17.6068109,17.3862966,Okanyanona,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (17.3862966 -17.6068109)
242,node,7549063651,-17.5260035,17.4025992,Ehafo,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (17.4025992 -17.5260035)
243,node,7589559482,-17.6882439,15.3257147,Oshitutuma,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (15.3257147 -17.6882439)
244,node,7593556730,-17.9156292,15.3499239,Onaanda,village,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (15.3499239 -17.9156292)
245,node,7593678282,-17.9797603,15.1472473,Etilyasa,village,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (15.1472473 -17.9797603)
246,node,7632695914,-19.248402,17.7087503,Tsumeb,town,,,,en:Tsumeb,,,,,,20000,,,,,,,,,,,,,,,,POINT (17.7087503 -19.248402)
247,node,7680994558,-18.4047087,16.5417619,Okangororosa,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (16.5417619 -18.4047087)
248,node,7699923412,-18.4547098,16.4671758,Indongoyakeelu,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (16.4671758 -18.4547098)
249,node,7728936996,-17.3961783,15.2458118,Wakashamane,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (15.2458118 -17.3961783)
250,node,7729220674,-17.3341066,14.829415,Dombondola,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (14.829415 -17.3341066)
251,node,7878529238,-18.1721549,16.2532042,Ondjamba,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (16.2532042 -18.1721549)
252,node,8443148121,-19.6123523,14.8296893,Omusaona Himba Village,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,https://www.facebook.com/Omusaona-Himba-Village-335009640463608,POINT (14.8296893 -19.6123523)
253,node,8657300191,-17.530056,15.0035187,Ombalantu,village,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (15.0035187 -17.530056)
254,node,8657301228,-17.5536375,15.0617572,Ombafi,village,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (15.0617572 -17.5536375)
255,node,8657930886,-17.4960062,15.0092807,Anamulenge,village,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (15.0092807 -17.4960062)
256,node,8770553851,-18.0004251,15.2498825,Otamanzi,village,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (15.2498825 -18.0004251)
257,node,8777171357,-17.7271528,15.4958813,Elim,village,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (15.4958813 -17.7271528)
258,node,8849122388,-21.0002212,15.1886769,Okotjoto,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (15.1886769 -21.0002212)
259,node,8960103746,-19.1408367,13.982653,Otjisakumuka,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.982653 -19.1408367)
260,node,9034745675,-17.5987749,15.4199702,Elalangali,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (15.4199702 -17.5987749)
261,node,9056212639,-18.1725371,15.4419529,Onkani,village,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (15.4419529 -18.1725371)
262,node,9068699874,-17.4504214,15.0680156,Oluvango,hamlet,,,,,,,,Oluvongo,,,,,,,,,,,,,,,,,,POINT (15.0680156 -17.4504214)
263,node,9097287813,-17.4989175,15.2182571,Okakwa,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (15.2182571 -17.4989175)
